;Num_Acc;id_vehicule;num_veh;catu;grav;catv;;obsm;dep;com;adr;lat;long;;voie;v1;v2;vosp;vma
1248;2,02E+11;138 305 506;B01;1;1;7;;2;75;75106;BOULEVARD SAINT MICHEL;48,8412519;2,3374696;;BOULEVARD SAINT MICHEL;0.0;;0;50
1249;2,02E+11;138 305 507;A01;1;4;30;;2;75;75106;BOULEVARD SAINT MICHEL;48,8412519;2,3374696;;BOULEVARD SAINT MICHEL;0.0;;0;50
1250;2,02E+11;138 305 504;B01;1;1;7;;2;75;75117;AVENUE DE VILLIERS;48,885265;2,294796;;AVENUE DE VILLIERS;0.0;;0;50
1251;2,02E+11;138 305 505;A01;1;4;33;;2;75;75117;AVENUE DE VILLIERS;48,885265;2,294796;;AVENUE DE VILLIERS;0.0;;0;50
1252;2,02E+11;138 305 502;B01;1;1;7;;2;75;75117;BOULEVARD DE COURCELLES;48,879908;2,306633;;BOULEVARD DE COURCELLES;0.0;;0;30
1253;2,02E+11;138 305 502;B01;2;1;7;;2;75;75117;BOULEVARD DE COURCELLES;48,879908;2,306633;;BOULEVARD DE COURCELLES;0.0;;0;30
1254;2,02E+11;138 305 503;A01;1;4;30;;2;75;75117;BOULEVARD DE COURCELLES;48,879908;2,306633;;BOULEVARD DE COURCELLES;0.0;;0;30
1255;2,02E+11;138 305 501;A01;3;4;31;;1;75;75108;AVENUE MARCEAU;48,8660756;2,2996588;;AVENUE MARCEAU;0.0;;0;50
1256;2,02E+11;138 305 501;A01;1;1;31;;1;75;75108;AVENUE MARCEAU;48,8660756;2,2996588;;AVENUE MARCEAU;0.0;;0;50
1257;2,02E+11;138 305 500;A01;1;4;31;;2;75;75112;BOULEVARD DIDEROT;48,8466734;2,3809492;;BOULEVARD DIDEROT;0.0;;3;50
1258;2,02E+11;138 305 497;B01;1;4;32;;2;75;75112;AVENUE LEDRU ROLLIN;48,848819;2,372875;;AVENUE LEDRU ROLLIN;0.0;;0;50
1259;2,02E+11;138 305 498;A01;1;1;7;;2;75;75112;AVENUE LEDRU ROLLIN;48,848819;2,372875;;AVENUE LEDRU ROLLIN;0.0;;0;50
1260;2,02E+11;138 305 496;A01;3;4;43;;1;75;75111;RUE DE CRUSSOL;48,86408;2,367715;;RUE DE CRUSSOL;0.0;;0;30
1261;2,02E+11;138 305 496;A01;1;1;43;;1;75;75111;RUE DE CRUSSOL;48,86408;2,367715;;RUE DE CRUSSOL;0.0;;0;30
1262;2,02E+11;138 305 495;A01;1;4;33;;2;75;75108;COURS LA REINE;48,864681;2,313657;;COURS LA REINE;0.0;;0;50
1263;2,02E+11;138 305 493;A01;2;4;32;;0;75;75108;RUE DE COURCELLES;48,8732719;2,3112966;;RUE DE COURCELLES;0.0;;0;30
1264;2,02E+11;138 305 493;A01;1;4;32;;0;75;75108;RUE DE COURCELLES;48,8732719;2,3112966;;RUE DE COURCELLES;0.0;;0;30
1265;2,02E+11;138 305 491;B01;1;4;33;;2;75;75108;AVENUE MARCEAU;48,868525;2,298919;;AVENUE MARCEAU;0.0;;-1;50
1266;2,02E+11;138 305 492;A01;1;1;7;;2;75;75108;AVENUE MARCEAU;48,868525;2,298919;;AVENUE MARCEAU;0.0;;-1;50
1267;2,02E+11;138 305 489;B01;3;4;30;;2;75;75102;RUE SAINT DENIS;48,8667094;2,3512489;;RUE SAINT DENIS;0.0;;-1;50
1268;2,02E+11;138 305 489;B01;1;1;30;;2;75;75102;RUE SAINT DENIS;48,8667094;2,3512489;;RUE SAINT DENIS;0.0;;-1;50
1269;2,02E+11;138 305 487;A01;1;1;7;;2;75;75101;PLACE DU CARROUSEL;48,860115;2,333339;;PLACE DU CARROUSEL;0.0;;0;50
1270;2,02E+11;138 305 488;B01;1;4;32;;2;75;75101;PLACE DU CARROUSEL;48,860115;2,333339;;PLACE DU CARROUSEL;0.0;;0;50
1468;2,02E+11;138 305 330;A01;1;1;10;;2;75;75112;A4;48,8183908;2,4568786;;4;0.0;A;0;90
1469;2,02E+11;138 305 331;B01;1;4;7;;2;75;75112;A4;48,8183908;2,4568786;;4;0.0;A;0;90
1478;2,02E+11;138 305 318;B01;1;2;80;;2;75;75116;AVENUE FOCH;48,8731676;2,2844497;;AVENUE FOCH;0.0;;1;50
1479;2,02E+11;138 305 319;A01;1;1;14;;2;75;75116;AVENUE FOCH;48,8731676;2,2844497;;AVENUE FOCH;0.0;;1;50
1480;2,02E+11;138 305 316;A01;1;1;37;;2;75;75106;BOULEVARD SAINT MICHEL;48,848375;2,341469;;BOULEVARD SAINT MICHEL;0.0;;-1;50
1481;2,02E+11;138 305 317;B01;1;4;80;;2;75;75106;BOULEVARD SAINT MICHEL;48,848375;2,341469;;BOULEVARD SAINT MICHEL;0.0;;-1;50
1482;2,02E+11;138 305 315;A01;3;4;7;;1;75;75119;BOULEVARD D INDOCHINE;48,8840994;2,3968389;;BOULEVARD D INDOCHINE;0.0;;0;50
1483;2,02E+11;138 305 315;A01;1;1;7;;1;75;75119;BOULEVARD D INDOCHINE;48,8840994;2,3968389;;BOULEVARD D INDOCHINE;0.0;;0;50
1484;2,02E+11;138 305 314;A01;3;4;30;;1;75;75119;RUE COMPANS;48,875801;2,394971;;RUE COMPANS;0.0;;0;30
1485;2,02E+11;138 305 314;A01;1;4;30;;1;75;75119;RUE COMPANS;48,875801;2,394971;;RUE COMPANS;0.0;;0;30
1486;2,02E+11;138 305 313;A01;3;4;7;;1;75;75116;RUE JEAN DE LA FONTAINE;48,849684;2,268559;;RUE JEAN DE LA FONTAINE;0.0;;0;50
1487;2,02E+11;138 305 313;A01;1;1;7;;1;75;75116;RUE JEAN DE LA FONTAINE;48,849684;2,268559;;RUE JEAN DE LA FONTAINE;0.0;;0;50
1488;2,02E+11;138 305 311;A01;1;1;10;;2;75;75116;ALLEE DE LONGCHAMP;48,863709;2,2401166;;ALLEE DE LONGCHAMP;0.0;;0;50
1489;2,02E+11;138 305 312;B01;1;4;1;;2;75;75116;ALLEE DE LONGCHAMP;48,863709;2,2401166;;ALLEE DE LONGCHAMP;0.0;;0;50
1490;2,02E+11;138 305 309;A01;1;1;7;;2;75;75115;RUE DE L ARRIVEE;48,844185;2,322892;;RUE DE L ARRIVEE;0.0;;-1;50
1491;2,02E+11;138 305 309;A01;2;1;7;;2;75;75115;RUE DE L ARRIVEE;48,844185;2,322892;;RUE DE L ARRIVEE;0.0;;-1;50
